	id	acronym
0	184	FRP
1	985	MOp
2	993	MOs
3	353	SSp-n
4	329	SSp-bfd
5	337	SSp-ll
6	345	SSp-m
7	369	SSp-ul
8	361	SSp-tr
9	182305689	SSp-un
10	378	SSs
11	1057	GU
12	677	VISC
13	1011	AUDd
14	1002	AUDp
15	1027	AUDpo
16	1018	AUDv
17	402	VISal
18	394	VISam
19	409	VISl
20	385	VISp
21	425	VISpl
22	533	VISpm
23	312782574	VISli
24	312782628	VISpor
25	39	ACAd
26	48	ACAv
27	972	PL
28	44	ILA
29	723	ORBl
30	731	ORBm
31	746	ORBvl
32	104	AId
33	111	AIp
34	119	AIv
35	894	RSPagl
36	879	RSPd
37	886	RSPv
38	312782546	VISa
39	417	VISrl
40	541	TEa
41	922	PERI
42	895	ECT
43	507	MOB
44	151	AOB
45	159	AON
46	589	TT
47	814	DP
48	961	PIR
49	619	NLOT
50	639	COAa
51	647	COAp
52	788	PAA
53	566	TR
54	614454280	CA1d
55	614454281	CA2d
56	614454282	CA3d
57	614454283	DGd
58	614454287	FCd
59	614454288	IGd
60	614454291	CA1v
61	614454292	CA2v
62	614454293	CA3v
63	614454294	DGv
64	918	ENTl
65	926	ENTm
66	843	PAR
67	1037	POST
68	1084	PRE
69	502	SUB
70	484682470	ProS
71	589508447	HATA
72	484682508	APr
73	583	CLA
74	952	EPd
75	966	EPv
76	131	LA
77	295	BLA
78	319	BMA
79	780	PA
80	672	CP
81	56	ACB
82	998	FS
83	754	OT
84	250	LSc
85	258	LSr
86	266	LSv
87	310	SF
88	333	SH
89	23	AAA
90	292	BA
91	536	CEA
92	1105	IA
93	403	MEA
94	1022	GPe
95	1031	GPi
96	342	SI
97	298	MA
98	564	MS
99	596	NDB
100	581	TRS
101	351	BST
102	287	BAC
103	629	VAL
104	685	VM
105	718	VPL
106	725	VPLpc
107	733	VPM
108	741	VPMpc
109	563807435	PoT
110	414	SPFm
111	422	SPFp
112	609	SPA
113	1044	PP
114	475	MG
115	170	LGd
116	218	LP
117	1020	PO
118	1029	POL
119	325	SGN
120	255	AV
121	127	AM
122	64	AD
123	1120	IAM
124	1113	IAD
125	155	LD
126	59	IMD
127	362	MD
128	366	SMT
129	1077	PR
130	149	PVT
131	15	PT
132	181	RE
133	560581559	Xi
134	189	RH
135	599	CM
136	907	PCN
137	575	CL
138	930	PF
139	560581563	PIL
140	262	RT
141	27	IGL
142	563807439	IntG
143	178	LGv
144	321	SubG
145	483	MH
146	186	LH
147	390	SO
148	332	ASO
149	38	PVH
150	30	PVa
151	118	PVi
152	223	ARH
153	72	ADP
154	263	AVP
155	272	AVPV
156	830	DMH
157	452	MEPO
158	523	MPO
159	763	OV
160	914	PD
161	1109	PS
162	126	PVp
163	133	PVpo
164	347	SBPV
165	286	SCH
166	338	SFO
167	576073699	VMPO
168	689	VLPO
169	88	AHN
170	210	LM
171	491	MM
172	525	SUM
173	1126	TMd
174	1	TMv
175	515	MPN
176	980	PMd
177	1004	PMv
178	63	PVHd
179	693	VMH
180	946	PH
181	194	LHA
182	226	LPO
183	356	PST
184	364	PSTN
185	576073704	PeF
186	173	RCH
187	470	STN
188	614	TU
189	797	ZI
190	10671	ME
191	302	SCs
192	4	IC
193	580	NB
194	271	SAG
195	874	PBG
196	460	MEV
197	599626923	SCO
198	381	SNr
199	749	VTA
200	607344830	PN
201	246	RR
202	128	MRN
203	294	SCm
204	795	PAG
205	215	APN
206	531	MPT
207	628	NOT
208	634	NPC
209	706	OP
210	1061	PPT
211	616	CUN
212	214	RN
213	35	III
214	549009211	MA3
215	975	EW
216	115	IV
217	606826663	Pa4
218	757	VTN
219	231	AT
220	66	LT
221	75	DT
222	58	MT
223	374	SNc
224	1052	PPN
225	12	IF
226	100	IPN
227	197	RL
228	591	CLI
229	872	DR
230	612	NLL
231	7	PSV
232	867	PB
233	398	SOC
234	280	B
235	880	DTN
236	599626927	PDTg
237	898	PCG
238	931	PG
239	1093	PRNc
240	318	SG
241	534	SUT
242	574	TRN
243	621	V
244	549009215	P5
245	549009219	Acs5
246	549009223	PC5
247	549009227	I5
248	679	CS
249	147	LC
250	162	LDT
251	604	NI
252	146	PRNr
253	238	RPO
254	350	SLC
255	358	SLD
256	207	AP
257	96	DCO
258	101	VCO
259	711	CU
260	1039	GR
261	903	ECU
262	642	NTB
263	651	NTS
264	429	SPVC
265	437	SPVI
266	445	SPVO
267	589508451	Pa5
268	653	VI
269	661	VII
270	576	ACVII
271	135	AMB
272	839	DMX
273	1048	GRN
274	372	ICB
275	83	IO
276	136	IRN
277	106	ISN
278	203	LIN
279	235	LRN
280	307	MARN
281	395	MDRN
282	1098	MDRNd
283	1107	MDRNv
284	852	PARN
285	859	PAS
286	970	PGRNd
287	978	PGRNl
288	177	NR
289	169	PRP
290	1069	PPY
291	209	LAV
292	202	MV
293	225	SPIV
294	217	SUV
295	765	x
296	773	XII
297	781	y
298	206	RM
299	230	RPA
300	222	RO
301	912	LING
302	920	CENT
303	928	CUL
304	936	DEC
305	944	FOTU
306	951	PYR
307	957	UVU
308	968	NOD
309	1007	SIM
310	1017	AN
311	1025	PRM
312	1033	COPY
313	1041	PFL
314	1049	FL
315	989	FN
316	91	IP
317	846	DN
318	589508455	VeCB
319	1009	fiber tracts
